key,kind,left_pattern_id,right_pattern_id,gap_bucket,left_pattern,right_pattern,train_support,valid_support,npmi,heldout_log_rate_diff,document_count,document_coverage
2097344,hetero,32,24,0,' ' --d=1--> ' ',' ' --d=1--> '3',23,6,0.10675781,0.02179963,23,0.00230000
9831602,self,150,150,2,'1' --d=1--> '8','1' --d=1--> '8',22,5,0.20013809,0.11607016,24,0.00240000
22610178,hetero,345,32,2,'.\n' --d=1--> ' ',' ' --d=1--> ' ',22,6,0.19059426,0.06625139,24,0.00240000
17170682,hetero,262,31,2,'9' --d=2--> '0','1' --d=1--> '9',22,6,0.18031704,0.06625139,26,0.00260000
1246304,hetero,19,140,0,' ' --d=3--> '.','3' --d=1--> '.',22,5,0.16549786,0.11607016,25,0.00250000
9175176,hetero,140,17,0,'3' --d=1--> '.',' ' --d=2--> '.',22,7,0.16348963,0.22040207,25,0.00250000
1245665,hetero,19,60,1,' ' --d=3--> '.',' ' --d=2--> '2',22,7,0.13905064,0.22040207,27,0.00270000
5046840,hetero,77,71,0,'1' --d=2--> '0','1' --d=3--> '0',22,5,0.13269859,0.11607016,24,0.00240000
4456600,hetero,68,19,0,'1' --d=1--> '.',' ' --d=3--> '.',22,5,0.13082871,0.11607016,26,0.00260000
2097842,hetero,32,86,2,' ' --d=1--> ' ',' ' --d=2--> '4',22,9,0.13016299,0.47171650,28,0.00280000
1245378,hetero,19,24,2,' ' --d=3--> '.',' ' --d=1--> '3',22,10,0.12928628,0.57707702,31,0.00310000
6947664,self,106,106,0,'1' --d=3--> '1','1' --d=3--> '1',22,10,0.12169396,0.57707702,32,0.00320000
1704147,self,26,26,3,'0' --d=1--> '1','0' --d=1--> '1',22,10,0.11971123,0.57707702,29,0.00290000
18087976,hetero,276,5,0,'\n' --d=2--> ' ',' ' --d=1--> '2',22,6,0.11589475,0.06625139,23,0.00230000
459730,hetero,7,122,2,'2' --d=1--> '0','0' --d=3--> ' ',22,8,0.11131758,0.35393346,28,0.00280000
3277202,self,50,50,2,' ' --d=1--> '4',' ' --d=1--> '4',22,7,0.10368942,0.22040207,25,0.00250000
5177522,hetero,79,22,2,"' I' --d=1--> ""'m""","',' --d=1--> ' I'",22,9,0.10180123,0.47171650,30,0.00300000
9109728,hetero,139,28,0,'2' --d=3--> '1','2' --d=2--> '1',22,6,0.10099189,0.06625139,24,0.00240000
197571,hetero,3,120,3,' ' --d=1--> '1','5' --d=1--> '0',22,7,0.10093156,0.22040207,29,0.00290000
2098275,hetero,32,140,3,' ' --d=1--> ' ','3' --d=1--> '.',21,5,0.24019907,0.06955015,23,0.00230000
12583162,hetero,192,31,2,'1' --d=2--> '9','1' --d=1--> '9',21,7,0.16290979,0.26692209,24,0.00240000
15859970,hetero,242,32,2,'5' --d=1--> '.',' ' --d=1--> ' ',21,8,0.15887100,0.40045348,27,0.00270000
1245729,hetero,19,68,1,' ' --d=3--> '.','1' --d=1--> '.',21,8,0.15858386,0.40045348,29,0.00290000
1246200,hetero,19,127,0,' ' --d=3--> '.','1' --d=2--> '.',21,8,0.13447162,0.40045348,22,0.00220000
4851296,hetero,74,204,0,'1' --d=3--> ' ',' ' --d=3--> ':',21,5,0.12540169,0.06955015,24,0.00240000
4981122,hetero,76,48,2,'1' --d=1--> '1',' ' --d=2--> '1',21,8,0.11573604,0.40045348,27,0.00270000
9240794,hetero,141,27,2,'0' --d=2--> '1','1' --d=1--> '0',21,6,0.11569838,0.11277141,26,0.00260000
4719170,self,72,72,2,'1' --d=1--> '2','1' --d=1--> '2',21,5,0.11151725,0.06955015,22,0.00220000
1376849,hetero,21,74,1,"',' --d=1--> ' '",'1' --d=3--> ' ',21,10,0.10467156,0.62359703,28,0.00280000
9175297,hetero,140,32,1,'3' --d=1--> '.',' ' --d=1--> ' ',20,7,0.19671868,0.31571225,26,0.00260000
1116874,hetero,17,345,2,' ' --d=2--> '.','.\n' --d=1--> ' ',20,5,0.18516364,0.02075999,22,0.00220000
2097809,hetero,32,82,1,' ' --d=1--> ' ','2' --d=1--> '.',20,5,0.16750026,0.02075999,24,0.00240000
2557001,hetero,39,137,1,'0' --d=2--> '0','2' --d=3--> '0',20,7,0.15473689,0.31571225,22,0.00220000
4456601,hetero,68,19,1,'1' --d=1--> '.',' ' --d=3--> '.',20,5,0.15358676,0.02075999,24,0.00240000
5505177,hetero,84,19,1,' ' --d=2--> '3',' ' --d=3--> '.',20,7,0.15089288,0.31571225,24,0.00240000
15859850,hetero,242,17,2,'5' --d=1--> '.',' ' --d=2--> '.',20,9,0.14819413,0.56702668,27,0.00270000
8323224,hetero,127,19,0,'1' --d=2--> '.',' ' --d=3--> '.',20,8,0.14169552,0.44924364,26,0.00260000
5898608,hetero,90,46,0,' ' --d=3--> ' ','.' --d=1--> ' ',20,6,0.13908657,0.16156157,21,0.00210000
1771288,hetero,27,227,0,'1' --d=1--> '0','0' --d=3--> '1',20,7,0.13107940,0.31571225,23,0.00230000
1573123,hetero,24,32,3,' ' --d=1--> '3',' ' --d=1--> ' ',20,6,0.12867927,0.16156157,25,0.00250000
198234,hetero,3,203,2,' ' --d=1--> '1',' ' --d=3--> '9',20,5,0.12200516,0.02075999,20,0.00200000
1245553,hetero,19,46,1,' ' --d=3--> '.','.' --d=1--> ' ',20,6,0.12124348,0.16156157,20,0.00200000
1573059,self,24,24,3,' ' --d=1--> '3',' ' --d=1--> '3',20,10,0.12105372,0.67238720,27,0.00270000
12648475,hetero,193,3,3,'9' --d=1--> '9',' ' --d=1--> '1',20,5,0.12032936,0.02075999,23,0.00230000
1573554,hetero,24,86,2,' ' --d=1--> '3',' ' --d=2--> '4',20,5,0.11026473,0.02075999,24,0.00240000
1966290,hetero,30,26,2,"',' --d=3--> '0'",'0' --d=1--> '1',20,6,0.10583460,0.16156157,26,0.00260000
198816,hetero,3,276,0,' ' --d=1--> '1','\n' --d=2--> ' ',20,8,0.10113015,0.44924364,26,0.00260000
