model_seed,step,set_name,split_id,layer,token_count,c_norm,cos_to_set_global,common_margin,common_winner,set_global_margin,set_global_winner,winner_matches_set_global
0,10,primary,7,0,32768,15.056947708129883,0.9964683055877686,0.03879857063293457,2,0.051928550004959106,2,1
0,10,primary,0,1,32768,20.94475555419922,0.9995870590209961,0.09115302562713623,5,0.07580631971359253,5,1
0,10,primary,1,1,32768,21.40933609008789,0.9996541738510132,0.06086087226867676,5,0.07580631971359253,5,1
0,10,primary,2,1,32768,21.47618293762207,0.9998353719711304,0.08203768730163574,5,0.07580631971359253,5,1
0,10,primary,3,1,32768,21.15283966064453,0.9996808767318726,0.054326653480529785,5,0.07580631971359253,5,1
0,10,primary,4,1,32768,21.379173278808594,0.9994306564331055,0.04566645622253418,5,0.07580631971359253,5,1
0,10,primary,5,1,32768,21.452322006225586,0.9997262358665466,0.07452952861785889,5,0.07580631971359253,5,1
0,10,primary,6,1,32768,21.358177185058594,0.9996741414070129,0.08984375,5,0.07580631971359253,5,1
0,10,primary,7,1,32768,21.36100196838379,0.9995719790458679,0.1080317497253418,5,0.07580631971359253,5,1
0,10,primary,0,2,32768,21.58195686340332,0.9998399019241333,0.10509383678436279,7,0.11944586038589478,7,1
0,10,primary,1,2,32768,21.962514877319336,0.9998356103897095,0.11194926500320435,7,0.11944586038589478,7,1
0,10,primary,2,2,32768,22.028858184814453,0.9999228715896606,0.12007009983062744,7,0.11944586038589478,7,1
0,10,primary,3,2,32768,21.779876708984375,0.9998390078544617,0.12231850624084473,7,0.11944586038589478,7,1
0,10,primary,4,2,32768,21.961952209472656,0.999747633934021,0.14684128761291504,7,0.11944586038589478,7,1
0,10,primary,5,2,32768,22.070537567138672,0.9998863935470581,0.12328386306762695,7,0.11944586038589478,7,1
0,10,primary,6,2,32768,21.94664192199707,0.9998716115951538,0.12020134925842285,7,0.11944586038589478,7,1
0,10,primary,7,2,32768,21.98931884765625,0.9998303651809692,0.1058087944984436,7,0.11944586038589478,7,1
0,10,primary,0,3,32768,21.767963409423828,0.9999045133590698,0.45582854747772217,2,0.4449484348297119,2,1
0,10,primary,1,3,32768,22.11749839782715,0.9999072551727295,0.4451371729373932,2,0.4449484348297119,2,1
0,10,primary,2,3,32768,22.18055534362793,0.9999538660049438,0.44740694761276245,2,0.4449484348297119,2,1
0,10,primary,3,3,32768,21.92595863342285,0.9999041557312012,0.4457090497016907,2,0.4449484348297119,2,1
0,10,primary,4,3,32768,22.121112823486328,0.9998422861099243,0.41767236590385437,2,0.4449484348297119,2,1
0,10,primary,5,3,32768,22.243209838867188,0.999934732913971,0.45895665884017944,2,0.4449484348297119,2,1
0,10,primary,6,3,32768,22.09390640258789,0.9999253153800964,0.4490843415260315,2,0.4449484348297119,2,1
0,10,primary,7,3,32768,22.15984535217285,0.9999019503593445,0.43979305028915405,2,0.4449484348297119,2,1
0,10,primary,0,4,32768,21.849483489990234,0.9999350905418396,0.7129033803939819,1,0.7137305736541748,1,1
0,10,primary,1,4,32768,22.184717178344727,0.9999382495880127,0.7241361141204834,1,0.7137305736541748,1,1
0,10,primary,2,4,32768,22.243698120117188,0.9999692440032959,0.7206036448478699,1,0.7137305736541748,1,1
0,10,primary,3,4,32768,21.97599220275879,0.9999359846115112,0.7104548215866089,1,0.7137305736541748,1,1
0,10,primary,4,4,32768,22.18631935119629,0.9998920559883118,0.698074996471405,1,0.7137305736541748,1,1
0,10,primary,5,4,32768,22.317575454711914,0.9999577403068542,0.7287075519561768,1,0.7137305736541748,1,1
0,10,primary,6,4,32768,22.153335571289062,0.999949038028717,0.7105079293251038,1,0.7137305736541748,1,1
