size,method,step,task,source_layer,target_layer,target_token_offset,recall_k,correct,total,recall
L,baseline,352000,same_token,3,17,0,1,7969,16384,0.48638916015625
L,baseline,352000,same_token,3,17,0,2,10283,16384,0.62762451171875
L,baseline,352000,same_token,3,17,0,4,13037,16384,0.79571533203125
L,baseline,352000,same_token,3,18,0,1,7867,16384,0.48016357421875
L,baseline,352000,same_token,3,18,0,2,9984,16384,0.609375
L,baseline,352000,same_token,3,18,0,4,12816,16384,0.7822265625
L,baseline,352000,same_token,3,19,0,1,7403,16384,0.45184326171875
L,baseline,352000,same_token,3,19,0,2,9925,16384,0.60577392578125
L,baseline,352000,same_token,3,19,0,4,12736,16384,0.77734375
L,baseline,352000,same_token,3,20,0,1,7467,16384,0.45574951171875
L,baseline,352000,same_token,3,20,0,2,9848,16384,0.60107421875
L,baseline,352000,same_token,3,20,0,4,12555,16384,0.76629638671875
L,baseline,352000,same_token,3,21,0,1,6788,16384,0.414306640625
L,baseline,352000,same_token,3,21,0,2,9239,16384,0.56390380859375
L,baseline,352000,same_token,3,21,0,4,12396,16384,0.756591796875
L,baseline,352000,same_token,3,22,0,1,6559,16384,0.40032958984375
L,baseline,352000,same_token,3,22,0,2,8992,16384,0.548828125
L,baseline,352000,same_token,3,22,0,4,12072,16384,0.73681640625
L,baseline,352000,same_token,3,23,0,1,7045,16384,0.42999267578125
L,baseline,352000,same_token,3,23,0,2,9665,16384,0.58990478515625
L,baseline,352000,same_token,3,23,0,4,12617,16384,0.77008056640625
L,baseline,352000,same_token,3,24,0,1,5962,16384,0.3638916015625
L,baseline,352000,same_token,3,24,0,2,8559,16384,0.52239990234375
L,baseline,352000,same_token,3,24,0,4,11991,16384,0.73187255859375
L,baseline,352000,same_token,3,25,0,1,6146,16384,0.3751220703125
L,baseline,352000,same_token,3,25,0,2,8676,16384,0.529541015625
L,baseline,352000,same_token,3,25,0,4,11935,16384,0.72845458984375
L,baseline,352000,same_token,3,26,0,1,5250,16384,0.3204345703125
L,baseline,352000,same_token,3,26,0,2,8100,16384,0.494384765625
L,baseline,352000,same_token,3,26,0,4,11924,16384,0.727783203125
L,baseline,352000,same_token,3,27,0,1,5306,16384,0.3238525390625
L,baseline,352000,same_token,3,27,0,2,8140,16384,0.496826171875
L,baseline,352000,same_token,3,27,0,4,11918,16384,0.7274169921875
L,baseline,352000,same_token,4,5,0,1,9784,16384,0.59716796875
L,baseline,352000,same_token,4,5,0,2,11710,16384,0.7147216796875
L,baseline,352000,same_token,4,5,0,4,14078,16384,0.8592529296875
L,baseline,352000,same_token,4,6,0,1,9611,16384,0.58660888671875
L,baseline,352000,same_token,4,6,0,2,11607,16384,0.70843505859375
L,baseline,352000,same_token,4,6,0,4,13830,16384,0.8441162109375
L,baseline,352000,same_token,4,7,0,1,8459,16384,0.51629638671875
L,baseline,352000,same_token,4,7,0,2,10829,16384,0.66094970703125
L,baseline,352000,same_token,4,7,0,4,13485,16384,0.82305908203125
L,baseline,352000,same_token,4,8,0,1,8891,16384,0.54266357421875
L,baseline,352000,same_token,4,8,0,2,11268,16384,0.687744140625
L,baseline,352000,same_token,4,8,0,4,13589,16384,0.82940673828125
L,baseline,352000,same_token,4,9,0,1,9126,16384,0.5570068359375
L,baseline,352000,same_token,4,9,0,2,11186,16384,0.6827392578125
L,baseline,352000,same_token,4,9,0,4,13555,16384,0.82733154296875
L,baseline,352000,same_token,4,10,0,1,9073,16384,0.55377197265625
L,baseline,352000,same_token,4,10,0,2,11438,16384,0.6981201171875
L,baseline,352000,same_token,4,10,0,4,13831,16384,0.84417724609375
L,baseline,352000,same_token,4,11,0,1,8257,16384,0.50396728515625
L,baseline,352000,same_token,4,11,0,2,10716,16384,0.654052734375
L,baseline,352000,same_token,4,11,0,4,13427,16384,0.81951904296875
L,baseline,352000,same_token,4,12,0,1,9270,16384,0.5657958984375
L,baseline,352000,same_token,4,12,0,2,11379,16384,0.69451904296875
L,baseline,352000,same_token,4,12,0,4,13655,16384,0.83343505859375
L,baseline,352000,same_token,4,13,0,1,8655,16384,0.52825927734375
L,baseline,352000,same_token,4,13,0,2,11013,16384,0.67218017578125
L,baseline,352000,same_token,4,13,0,4,13393,16384,0.81744384765625
L,baseline,352000,same_token,4,14,0,1,9339,16384,0.57000732421875
L,baseline,352000,same_token,4,14,0,2,11322,16384,0.6910400390625
L,baseline,352000,same_token,4,14,0,4,13558,16384,0.8275146484375
L,baseline,352000,same_token,4,15,0,1,8915,16384,0.54412841796875
L,baseline,352000,same_token,4,15,0,2,11159,16384,0.68109130859375
L,baseline,352000,same_token,4,15,0,4,13483,16384,0.82293701171875
L,baseline,352000,same_token,4,16,0,1,8359,16384,0.51019287109375
L,baseline,352000,same_token,4,16,0,2,10675,16384,0.65155029296875
L,baseline,352000,same_token,4,16,0,4,13211,16384,0.80633544921875
L,baseline,352000,same_token,4,17,0,1,8291,16384,0.50604248046875
L,baseline,352000,same_token,4,17,0,2,10531,16384,0.64276123046875
L,baseline,352000,same_token,4,17,0,4,13175,16384,0.80413818359375
L,baseline,352000,same_token,4,18,0,1,8036,16384,0.490478515625
L,baseline,352000,same_token,4,18,0,2,10216,16384,0.62353515625
L,baseline,352000,same_token,4,18,0,4,12882,16384,0.7862548828125
L,baseline,352000,same_token,4,19,0,1,7583,16384,0.46282958984375
L,baseline,352000,same_token,4,19,0,2,10141,16384,0.61895751953125
L,baseline,352000,same_token,4,19,0,4,12917,16384,0.78839111328125
L,baseline,352000,same_token,4,20,0,1,7629,16384,0.46563720703125
L,baseline,352000,same_token,4,20,0,2,10014,16384,0.6112060546875
L,baseline,352000,same_token,4,20,0,4,12745,16384,0.77789306640625
L,baseline,352000,same_token,4,21,0,1,6922,16384,0.4224853515625
L,baseline,352000,same_token,4,21,0,2,9432,16384,0.57568359375
L,baseline,352000,same_token,4,21,0,4,12443,16384,0.75946044921875
L,baseline,352000,same_token,4,22,0,1,6786,16384,0.4141845703125
L,baseline,352000,same_token,4,22,0,2,9142,16384,0.5579833984375
L,baseline,352000,same_token,4,22,0,4,12171,16384,0.74285888671875
L,baseline,352000,same_token,4,23,0,1,7366,16384,0.4495849609375
L,baseline,352000,same_token,4,23,0,2,9836,16384,0.600341796875
L,baseline,352000,same_token,4,23,0,4,12678,16384,0.7738037109375
