size,method,step,layer,expert,activation_count,activation_share
L,proposed,352000,24,7,17725,0.13523101806640625
L,proposed,352000,25,0,10066,0.0767974853515625
L,proposed,352000,25,1,12749,0.09726715087890625
L,proposed,352000,25,2,27920,0.2130126953125
L,proposed,352000,25,3,10280,0.07843017578125
L,proposed,352000,25,4,26350,0.2010345458984375
L,proposed,352000,25,5,10625,0.08106231689453125
L,proposed,352000,25,6,9391,0.07164764404296875
L,proposed,352000,25,7,23691,0.18074798583984375
L,proposed,352000,26,0,11904,0.0908203125
L,proposed,352000,26,1,14847,0.11327362060546875
L,proposed,352000,26,2,15161,0.11566925048828125
L,proposed,352000,26,3,22398,0.1708831787109375
L,proposed,352000,26,4,14201,0.10834503173828125
L,proposed,352000,26,5,18755,0.14308929443359375
L,proposed,352000,26,6,13494,0.1029510498046875
L,proposed,352000,26,7,20312,0.15496826171875
L,proposed,352000,27,0,26022,0.1985321044921875
L,proposed,352000,27,1,9169,0.06995391845703125
L,proposed,352000,27,2,16280,0.12420654296875
L,proposed,352000,27,3,10648,0.08123779296875
L,proposed,352000,27,4,7915,0.06038665771484375
L,proposed,352000,27,5,16711,0.12749481201171875
L,proposed,352000,27,6,21264,0.1622314453125
L,proposed,352000,27,7,23063,0.17595672607421875
M,baseline,172000,0,0,18677,0.14249420166015625
M,baseline,172000,0,1,16207,0.12364959716796875
M,baseline,172000,0,2,17562,0.1339874267578125
M,baseline,172000,0,3,10787,0.08229827880859375
M,baseline,172000,0,4,13909,0.10611724853515625
M,baseline,172000,0,5,16245,0.12393951416015625
M,baseline,172000,0,6,24230,0.1848602294921875
M,baseline,172000,0,7,13455,0.10265350341796875
M,baseline,172000,1,0,17232,0.1314697265625
M,baseline,172000,1,1,12617,0.09626007080078125
M,baseline,172000,1,2,20051,0.15297698974609375
M,baseline,172000,1,3,16415,0.12523651123046875
M,baseline,172000,1,4,16482,0.1257476806640625
M,baseline,172000,1,5,18872,0.14398193359375
M,baseline,172000,1,6,15010,0.1145172119140625
M,baseline,172000,1,7,14393,0.10980987548828125
M,baseline,172000,2,0,27368,0.20880126953125
M,baseline,172000,2,1,15243,0.11629486083984375
M,baseline,172000,2,2,14964,0.114166259765625
M,baseline,172000,2,3,16115,0.12294769287109375
M,baseline,172000,2,4,12950,0.0988006591796875
M,baseline,172000,2,5,13614,0.1038665771484375
M,baseline,172000,2,6,12340,0.094146728515625
M,baseline,172000,2,7,18478,0.1409759521484375
M,baseline,172000,3,0,16848,0.1285400390625
M,baseline,172000,3,1,18024,0.13751220703125
M,baseline,172000,3,2,14001,0.10681915283203125
M,baseline,172000,3,3,19119,0.14586639404296875
M,baseline,172000,3,4,20037,0.15287017822265625
M,baseline,172000,3,5,14719,0.11229705810546875
M,baseline,172000,3,6,12185,0.09296417236328125
M,baseline,172000,3,7,16139,0.12313079833984375
M,baseline,172000,4,0,13551,0.10338592529296875
M,baseline,172000,4,1,16466,0.1256256103515625
M,baseline,172000,4,2,21507,0.16408538818359375
M,baseline,172000,4,3,13373,0.10202789306640625
M,baseline,172000,4,4,11932,0.091033935546875
M,baseline,172000,4,5,22539,0.17195892333984375
M,baseline,172000,4,6,14583,0.11125946044921875
M,baseline,172000,4,7,17121,0.13062286376953125
M,baseline,172000,5,0,17489,0.13343048095703125
M,baseline,172000,5,1,11562,0.0882110595703125
M,baseline,172000,5,2,14829,0.11313629150390625
M,baseline,172000,5,3,20600,0.15716552734375
M,baseline,172000,5,4,13517,0.10312652587890625
M,baseline,172000,5,5,22490,0.1715850830078125
M,baseline,172000,5,6,15222,0.1161346435546875
M,baseline,172000,5,7,15363,0.11721038818359375
M,baseline,172000,6,0,18461,0.14084625244140625
M,baseline,172000,6,1,18018,0.1374664306640625
M,baseline,172000,6,2,15300,0.116729736328125
M,baseline,172000,6,3,16420,0.125274658203125
M,baseline,172000,6,4,15087,0.11510467529296875
M,baseline,172000,6,5,17728,0.13525390625
M,baseline,172000,6,6,18227,0.13906097412109375
M,baseline,172000,6,7,11831,0.09026336669921875
M,baseline,172000,7,0,16707,0.12746429443359375
M,baseline,172000,7,1,23119,0.17638397216796875
M,baseline,172000,7,2,18646,0.1422576904296875
M,baseline,172000,7,3,10959,0.08361053466796875
M,baseline,172000,7,4,18366,0.1401214599609375
