variant,router_metric,seed,step,source_variant,cancel_active,slot_to_expert_NMI,per_slot_route_purity,max_load,load_entropy_norm,active_experts,target_accuracy,cross_entropy_loss,slot_component_variance_ratio,position_component_variance_ratio,residual_component_variance_ratio,alpha,cancel_until,initial_slot_minus_common_margin_mean
R2P2_alpha_0.8,dot_product,20260524,1600,original,0,0.866025403784751,1.0,0.5,0.7500000020608765,3,1.0,3.223067824364989e-05,0.9960915446281433,0.0017857598140835762,0.0021227404940873384,0.8,,0.3138779690489173
R2P2_alpha_0.8,dot_product,20260525,1600,original,0,0.866025403784751,1.0,0.5,0.7500000020608765,3,1.0,3.244226072638412e-05,0.9998881220817566,7.960652146721259e-05,3.225174805265851e-05,0.8,,0.3131385841406882
R2P2_alpha_0.8,dot_product,20260526,1600,original,0,1.0000000000001803,1.0,0.25,1.0000000027478353,4,1.0,3.1634656897949755e-05,0.9809092283248901,0.014075467362999916,0.005015296395868063,0.8,,0.3959783932659775
R2P2_alpha_0.8,dot_product,20260527,1600,original,0,1.0000000000001803,1.0,0.25,1.0000000027478353,4,1.0,3.430780925555155e-05,0.999833345413208,7.489466952392831e-05,9.174234583042562e-05,0.8,,0.4289272755384445
R2P2_alpha_0.8,dot_product,20260528,1600,original,0,1.0000000000001803,1.0,0.25,1.0000000027478353,4,1.0,2.6166095540247625e-05,0.9997254014015198,0.0001351475075352937,0.00013949480489827693,0.8,,0.37441270127892495
R2P2_alpha_1,dot_product,20260521,1600,original,0,0.8417442805882993,0.9749999940395355,0.4749999940395355,0.821599217328803,4,1.0,3.137238909403095e-05,0.9890475273132324,0.003493344644084573,0.00745916785672307,1.0,,0.2559442721307278
R2P2_alpha_1,dot_product,20260522,1600,original,0,0.866025403784751,1.0,0.5,0.7500000020608765,3,1.0,3.251678426750004e-05,0.9985932111740112,0.0003927258076146245,0.0010141911916434765,1.0,,0.3107196997851133
R2P2_alpha_1,dot_product,20260523,1600,original,0,1.0000000000001803,1.0,0.25,1.0000000027478353,4,1.0,3.1539287283521845e-05,0.9961991310119629,0.0011569628259167075,0.0026438625063747168,1.0,,0.30833897180855274
R2P2_alpha_1,dot_product,20260524,1600,original,0,0.866025403784751,1.0,0.5,0.7500000020608765,3,1.0,3.2227698829956354e-05,0.99552321434021,0.0018377776723355055,0.0026388780679553747,1.0,,0.30938848089426757
R2P2_alpha_1,dot_product,20260525,1600,original,0,0.866025403784751,1.0,0.5,0.7500000020608765,3,1.0,3.11250492813997e-05,0.9997747540473938,0.00016022316413000226,6.507772923214361e-05,1.0,,0.3033714205957949
R2P2_alpha_1,dot_product,20260526,1600,original,0,1.0000000000001803,1.0,0.25,1.0000000027478353,4,1.0,3.163167671118572e-05,0.9809959530830383,0.014003257267177105,0.005000749137252569,1.0,,0.3969412869308144
R2P2_alpha_1,dot_product,20260527,1600,original,0,1.0000000000001803,1.0,0.25,1.0000000027478353,4,1.0,3.427204828767572e-05,0.9998334050178528,7.470804848708212e-05,9.19449666980654e-05,1.0,,0.43454228080809115
R2P2_alpha_1,dot_product,20260528,1600,original,0,1.0000000000001803,1.0,0.25,1.0000000027478353,4,1.0,2.6085631134264986e-05,0.9997280240058899,0.0001320053415838629,0.0001400573382852599,1.0,,0.3620008066296577
