variant,router_metric,seed,step,source_variant,cancel_active,slot_to_expert_NMI,per_slot_route_purity,max_load,load_entropy_norm,active_experts,target_accuracy,cross_entropy_loss,slot_component_variance_ratio,position_component_variance_ratio,residual_component_variance_ratio,alpha,cancel_until
R2P2_alpha_0.4,dot_product,20260522,20,original,0,0.866025403784751,1.0,0.5,0.7500000020608765,3,1.0,0.022478695679455995,0.972676157951355,0.01487951073795557,0.012444349005818367,0.4,
R2P2_alpha_0.4,dot_product,20260522,50,original,0,0.866025403784751,1.0,0.5,0.7500000020608765,3,1.0,0.004716972436290235,0.9864462018013,0.006171399727463722,0.007382409647107124,0.4,
R2P2_alpha_0.4,dot_product,20260522,1600,original,0,0.866025403784751,1.0,0.5,0.7500000020608765,3,1.0,3.161081922371522e-05,0.9963670969009399,0.0009877191623672843,0.002645216416567564,0.4,
R2P2_alpha_0.4,dot_product,20260523,0,original,0,1.0000000000001803,1.0,0.25,1.0000000027478353,4,0.025,3.4046722054481506,0.20814839005470276,0.7135859727859497,0.07826564460992813,0.4,
R2P2_alpha_0.4,dot_product,20260523,1,original,0,0.8387939559387659,0.9000000059604645,0.4000000059604645,0.9304820355293252,4,0.25,2.927954709529877,0.21492697298526764,0.7000030875205994,0.08506989479064941,0.4,
R2P2_alpha_0.4,dot_product,20260523,2,original,0,0.6877381565959764,0.8999999910593033,0.550000011920929,0.7737357576630799,4,0.5,2.516668048501015,0.2543783485889435,0.6466770172119141,0.09894463419914246,0.4,
R2P2_alpha_0.4,dot_product,20260523,5,original,0,0.6525591414734523,0.8999999910593033,0.4749999940395355,0.7240593428832865,4,0.775,1.478489487618208,0.5331264734268188,0.37095797061920166,0.09591548889875412,0.4,
R2P2_alpha_0.4,dot_product,20260523,10,original,0,0.7583580164656424,0.9249999970197678,0.42500001192092896,0.8393928003610455,4,0.975,0.2896898644976318,0.8773775100708008,0.08988144248723984,0.03274109587073326,0.4,
R2P2_alpha_0.4,dot_product,20260523,20,original,0,0.8618387297192593,0.9000000059604645,0.3499999940395355,0.9703226765149491,4,1.0,0.01901774937286973,0.9797303676605225,0.0091395890340209,0.011130102910101414,0.4,
R2P2_alpha_0.4,dot_product,20260523,50,original,0,1.0000000000001803,1.0,0.25,1.0000000027478353,4,1.0,0.004201961919898167,0.9883787035942078,0.004458033945411444,0.007163268513977528,0.4,
R2P2_alpha_0.4,dot_product,20260523,1600,original,0,1.0000000000001803,1.0,0.25,1.0000000027478353,4,1.0,3.119955144939013e-05,0.9959807395935059,0.0012568337842822075,0.0027623779606074095,0.4,
R2P2_alpha_0.4,dot_product,20260524,0,original,0,1.0000000000001803,1.0,0.25,1.0000000027478353,4,0.0,3.49356227517128,0.33783119916915894,0.5649762749671936,0.09719250351190567,0.4,
R2P2_alpha_0.4,dot_product,20260524,1,original,0,0.7426912634330712,0.9000000059604645,0.4000000059604645,0.8444015370934485,4,0.15,3.006776306591928,0.304683119058609,0.6100374460220337,0.08527947217226028,0.4,
R2P2_alpha_0.4,dot_product,20260524,2,original,0,0.7453838340382948,0.9000000059604645,0.4000000059604645,0.7794358646519514,3,0.25,2.58138764500618,0.3361315131187439,0.5811503529548645,0.08271819353103638,0.4,
R2P2_alpha_0.4,dot_product,20260524,5,original,0,0.7744952575923134,0.9500000029802322,0.44999998807907104,0.7697455881804118,3,0.825,1.389695930480957,0.5501364469528198,0.3691924512386322,0.08067111670970917,0.4,
R2P2_alpha_0.4,dot_product,20260524,10,original,0,0.866025403784751,1.0,0.5,0.7500000020608765,3,1.0,0.26817187361884864,0.8606681227684021,0.1050567775964737,0.0342751145362854,0.4,
R2P2_alpha_0.4,dot_product,20260524,20,original,0,0.866025403784751,1.0,0.5,0.7500000020608765,3,1.0,0.024718092195689677,0.9765837788581848,0.013406338170170784,0.010009861551225185,0.4,
R2P2_alpha_0.4,dot_product,20260524,50,original,0,0.866025403784751,1.0,0.5,0.7500000020608765,3,1.0,0.004651423753239214,0.9875335097312927,0.006594731472432613,0.005871699657291174,0.4,
R2P2_alpha_0.4,dot_product,20260524,1600,original,0,0.866025403784751,1.0,0.5,0.7500000020608765,3,1.0,3.232902345189359e-05,0.9955745339393616,0.0018021719297394156,0.0026232958771288395,0.4,
R2P2_alpha_0.4,dot_product,20260525,0,original,0,1.0000000000001803,1.0,0.25,1.0000000027478353,4,0.25,3.4062594532966615,0.23901046812534332,0.6499563455581665,0.11103326082229614,0.4,
R2P2_alpha_0.4,dot_product,20260525,1,original,0,0.7227531091533705,0.875,0.4749999940395355,0.8774041478807671,4,0.275,2.9415366142988204,0.2803386151790619,0.6021327376365662,0.11752867698669434,0.4,
R2P2_alpha_0.4,dot_product,20260525,2,original,0,0.4994525873950064,0.7999999970197678,0.6499999761581421,0.6882006592087518,4,0.45,2.564226054213941,0.3281242847442627,0.5401784181594849,0.13169731199741364,0.4,
R2P2_alpha_0.4,dot_product,20260525,5,original,0,0.19501128654329902,0.9000000059604645,0.8999999761581421,0.28449782864087875,3,0.475,1.7380342438817025,0.5632060170173645,0.3144806921482086,0.12231334298849106,0.4,
R2P2_alpha_0.4,dot_product,20260525,10,original,0,0.866025403784751,1.0,0.5,0.7500000020608765,3,1.0,0.33690761756151916,0.9113062024116516,0.06186974048614502,0.026824021711945534,0.4,
R2P2_alpha_0.4,dot_product,20260525,20,original,0,0.866025403784751,1.0,0.5,0.7500000020608765,3,1.0,0.018753089383244513,0.9942492842674255,0.004145369865000248,0.0016054307343438268,0.4,
R2P2_alpha_0.4,dot_product,20260525,50,original,0,0.866025403784751,1.0,0.5,0.7500000020608765,3,1.0,0.004268237270662212,0.9996553659439087,0.00023736940056551248,0.00010730113717727363,0.4,
R2P2_alpha_0.4,dot_product,20260525,1600,original,0,0.866025403784751,1.0,0.5,0.7500000020608765,3,1.0,3.3047228862415066e-05,0.9998953342437744,7.416866719722748e-05,3.0608585802838206e-05,0.4,
