layer,condition,R,delta_middle_e,delta_tail_e,delta_middle_q_enrichment,delta_tail_q_enrichment
31,wrong_layer_basis_12,0.45230875893385125,0.027792489267561265,-0.014890983790600202,,
32,length_template_bundle_residualized,0.7380431025134614,0.012178583974053334,0.05541250783117252,,
32,eigen_floor_1e-06,0.48411723031063536,,,-0.022334317610088805,0.007735933180043292
32,eigen_floor_1e-05,0.48411723031063536,,,-0.022263392443557867,0.007718604812128495
32,eigen_floor_1e-04,0.48411723031063536,,,-0.01986084994542321,0.017422581801690804
32,calibration_half0_basis,0.48411723031063536,0.014856862050245948,0.027354522490516793,,
32,calibration_half1_basis,0.48411723031063536,0.004598821732348113,0.05810391273695089,,
32,wrong_layer_basis_13,0.48411723031063536,0.022469905661860766,-0.0008100559744142501,,
33,length_template_bundle_residualized,0.749227451315057,0.029741865552526586,0.03780316237487612,,
33,eigen_floor_1e-06,0.5075678442153079,,,0.006824335481879581,0.000398404763808559
33,eigen_floor_1e-05,0.5075678442153079,,,0.006818434245757795,0.0004000669116519745
33,eigen_floor_1e-04,0.5075678442153079,,,0.006187726276463825,0.0011253659585640252
33,calibration_half0_basis,0.5075678442153079,0.031577410848959715,0.015122219543864068,,
33,calibration_half1_basis,0.5075678442153079,0.011426593222233187,0.04778439153325242,,
33,wrong_layer_basis_14,0.5075678442153079,-0.0034170148861994588,0.022186569614023773,,
34,length_template_bundle_residualized,0.7888683191226087,0.02292775051020766,0.0315992551229426,,
34,eigen_floor_1e-06,0.5564240432496079,,,0.002443445001818622,0.001023221374663434
34,eigen_floor_1e-05,0.5564240432496079,,,0.00248552157851316,0.0010110735055650325
34,eigen_floor_1e-04,0.5564240432496079,,,-0.0006016483010779702,0.002990228434375311
34,calibration_half0_basis,0.5564240432496079,0.024820258517049686,0.018948021328434123,,
34,calibration_half1_basis,0.5564240432496079,0.001893674423186634,0.03932234904276075,,
34,wrong_layer_basis_15,0.5564240432496079,-0.01793337456736109,0.03546502979093462,,
35,length_template_bundle_residualized,0.8283742477793057,0.04060287414469505,0.02025007603516817,,
35,eigen_floor_1e-06,0.6012468393046229,,,0.02526464169736318,-0.005758210307175587
35,eigen_floor_1e-05,0.6012468393046229,,,0.02526464169736318,-0.005758210307175587
35,eigen_floor_1e-04,0.6012468393046229,,,0.025424581202373342,-0.00582841898295137
35,calibration_half0_basis,0.6012468393046229,0.03972657042449063,0.012163161603548847,,
35,calibration_half1_basis,0.6012468393046229,0.022845039910450973,0.023579357399975194,,
35,wrong_layer_basis_16,0.6012468393046229,-0.007996450002871748,0.025428916943555705,,
36,length_template_bundle_residualized,0.8307464448973549,0.02663301877213294,0.002025386417039206,,
36,eigen_floor_1e-06,0.6094801294713099,,,0.025980808201892747,-0.006561306412732844
36,eigen_floor_1e-05,0.6094801294713099,,,0.025980808201892747,-0.006561306412732844
36,eigen_floor_1e-04,0.6094801294713099,,,0.024299466887012962,-0.006128301936450211
36,calibration_half0_basis,0.6094801294713099,0.020037191654397872,0.0009535357721913763,,
36,calibration_half1_basis,0.6094801294713099,0.021356575649143547,-0.0022091936018785196,,
36,wrong_layer_basis_17,0.6094801294713099,-0.024857086891721954,0.013454741780262876,,
