role,band,band_index,b,q,j,e,q_enrichment,j_enrichment,layer,split,floor_ratio
fine,F2,2,3.010713953699451e-05,0.0005058981000499167,0.4747824966907501,1.2193720853426193,0.14243027358332527,0.9823913789375496,2,confirmation,1e-06
fine,F3,3,2.9427203116938472e-05,0.0007703575631811796,0.4868682026863098,1.1918339165502847,0.2168860457670289,1.0073983946998537,2,confirmation,1e-06
fine,F4,4,2.9010225262027234e-05,0.0010603305115188045,0.4922323226928711,1.1749458572957667,0.29852487058059557,1.018497509108582,2,confirmation,1e-06
fine,F5,5,2.900604158639908e-05,0.0014044195015092528,0.5319475531578064,1.1747764138563184,0.3953994960763505,1.1006738746932707,2,confirmation,1e-06
fine,F6,6,2.7788406441686675e-05,0.0017350574963230039,0.4984932541847229,1.1254608585286519,0.4884871357684506,1.0314522518899276,2,confirmation,1e-06
fine,F7,7,2.7078644052380696e-05,0.002161006177482057,0.5034246444702148,1.0967147053551716,0.6084084938125991,1.0416559879931127,2,confirmation,1e-06
fine,F8,8,2.5365408873767592e-05,0.0025543841005530084,0.45943817496299744,1.027326806519388,0.7191598984909475,0.9506418315425729,2,confirmation,1e-06
fine,F9,9,2.4939577997429296e-05,0.0031510176437984107,0.4829404056072235,1.010080190212785,0.8871357789796201,0.9992712332825621,2,confirmation,1e-06
fine,F10,10,2.262849193357397e-05,0.003579292007692618,0.48897504806518555,0.9164786765377048,1.0077119084652968,1.0117577524086745,2,confirmation,1e-06
fine,F11,11,2.1939704311080277e-05,0.004340231183529941,0.4914499819278717,0.8885820243643459,1.221946306625887,1.01687873666376,2,confirmation,1e-06
fine,F12,12,1.990286909858696e-05,0.004957842852133269,0.43652984499931335,0.8060879701714716,1.3958283570205148,0.903241293361321,2,confirmation,1e-06
fine,F13,13,1.8647850083652884e-05,0.0059107928914514905,0.4848932921886444,0.7552583272057428,1.6641213883601118,1.0033120287099477,2,confirmation,1e-06
fine,F14,14,1.7347385437460616e-05,0.0071036577458969,0.495998352766037,0.7025880864612408,1.9999599051480366,1.0262899519692283,2,confirmation,1e-06
fine,F15,15,1.4995359379099682e-05,0.008151527372000828,0.4181716740131378,0.6073284582245673,2.2949765448842068,0.8652556703958911,2,confirmation,1e-06
fine,F16,16,1.1509627256600652e-05,0.009201745023179888,0.4285353422164917,0.46615249423321353,2.5906542463120465,0.8866995491574444,2,confirmation,1e-06
coarse,F1,1,5.226679058978334e-05,0.00030388598713138455,0.32152360677719116,1.873104998217439,0.08170424131686436,0.8099921681885486,2,design,1e-06
coarse,F2,2,3.735636710189283e-05,0.0006231055847339586,0.46020933985710144,1.3387544393720352,0.16753115055278356,1.1593735363568278,2,design,1e-06
coarse,F3,3,3.657626803033054e-05,0.0009585392900440149,0.4686596691608429,1.3107977300818778,0.2577174624099792,1.1806618660793418,2,design,1e-06
coarse,F4,4,3.5083998227491975e-05,0.001279251679206737,0.4468621611595154,1.257318685456317,0.3439457307313155,1.1257489128934888,2,design,1e-06
coarse,F5,5,3.356226079631597e-05,0.0016172714878495919,0.4691179692745209,1.2027835981447286,0.4348273547112185,1.1818164298343332,2,design,1e-06
coarse,F6,6,3.204457607353106e-05,0.0019934276121557973,0.3983982503414154,1.148393749296379,0.5359624910932822,1.0036571368154343,2,design,1e-06
coarse,F7,7,3.210591967217624e-05,0.002552364217568875,0.44455042481422424,1.1505921433422799,0.6862408626647717,1.11992511552641,2,design,1e-06
coarse,F8,8,2.7142414182890207e-05,0.002716426492879467,0.3734593987464905,0.9727130955616285,0.7303514314327058,0.940830414143391,2,design,1e-06
coarse,F9,9,2.6664805773179978e-05,0.003346554296194052,0.39321795105934143,0.9555968600070051,0.8997706092910828,0.9906067673902729,2,design,1e-06
coarse,F10,10,2.5186323910020292e-05,0.0039773209221225314,0.3745349943637848,0.902611939057993,1.069361544055716,0.943540087734326,2,design,1e-06
