seed,pool,fit_pool_size,uses_feature_labels_for_fit,selected_positions,fit_pool_role_entropy,fit_pool_route_fraction,fit_pool_slot_nonroute_fraction,fit_pool_target_fraction,fit_pool_neutral_fraction,representation_type,latent_dim,d_sae,sae_expansion,sparsity,top_k,l1_lambda,train_sample_count,train_epochs,train_reconstruction_mse,reconstruction_mse,retained_variance_fraction,latent_l0_mean,latent_active_fraction,feature_NMI,nuisance_NMI,slot_start_NMI,feature_purity,dominant_expert_count,load_imbalance_L,max_load,active_experts,load_entropy,load_e0,load_e1,load_e2,load_e3,count_e0,count_e1,count_e2,count_e3,margin_mean,margin_std,margin_min,margin_p05,margin_median
20260623,sae_l1_8x,393216,False,,1.1808927059173584,0.03125,0.09375,0.03125,0.8125,sae,1024,1024,8,l1,nan,0.0001,65536,10,0.0035732410178752616,0.0033719278580974787,nan,519.3726959228516,0.5071998983621597,0.8660254037844386,0.0,0.0,1.0,3.0,1.0,0.5,3,0.7500000020608765,0.5,0.25,0.25,0.0,6144,3072,3072,0,2.0505402088165283,0.7087252140045166,1.0385353565216064,1.2864761352539062,1.988436222076416
20260623,sae_topk_8x,393216,False,,1.1808927059173584,0.03125,0.09375,0.03125,0.8125,sae,1024,1024,8,topk,8,nan,65536,10,0.03202789952047169,0.03136914310744032,nan,8.0,0.0078125,0.6119812585714579,2.94702086022718e-05,0.0013006222012961071,0.9749348958333334,2.0,1.8997395038604736,0.7249348759651184,3,0.484863034349553,0.0,0.25,0.7249348759651184,0.02506510354578495,0,3072,8908,308,2.0312483310699463,2.1954987049102783,9.369850158691406e-05,0.04754304885864258,1.126590371131897
20260625,pca_q4,393216,False,,1.1808927059173584,0.03125,0.09375,0.03125,0.8125,pca,4,nan,nan,,nan,nan,393216,0,0.914116621017456,0.914116621017456,0.08316506806441468,4.0,1.0,0.8660254037844386,0.0,0.0,1.0,3.0,1.0,0.5,3,0.7500000020608765,0.25,0.25,0.0,0.5,3072,3072,0,6144,2.0332367420196533,0.409278929233551,1.149902105331421,1.4230844974517822,2.0197913646698
20260625,pca_q8,393216,False,,1.1808927059173584,0.03125,0.09375,0.03125,0.8125,pca,8,nan,nan,,nan,nan,393216,0,0.8406645655632019,0.8406645655632019,0.15683545560687256,8.0,1.0,0.6368979998630601,0.0,0.0,1.0,2.0,2.0,0.75,2,0.40563905424694935,0.25,0.0,0.0,0.75,3072,0,0,9216,2.00778865814209,0.915626049041748,0.642891526222229,0.8824435472488403,1.9685914516448975
20260625,pca_q16,393216,False,,1.1808927059173584,0.03125,0.09375,0.03125,0.8125,pca,16,nan,nan,,nan,nan,393216,0,0.7196469306945801,0.7196469306945801,0.27821310444354813,16.0,1.0,0.8660254037844386,0.0,0.0,1.0,3.0,1.0,0.5,3,0.7500000020608765,0.0,0.25,0.25,0.5,0,3072,3072,6144,1.9641376733779907,0.25445428490638733,1.3045098781585693,1.5729109048843384,1.9483380317687988
20260625,pca_q32,393216,False,,1.1808927059173584,0.03125,0.09375,0.03125,0.8125,pca,32,nan,nan,,nan,nan,393216,0,0.5310643911361694,0.5310643911361694,0.4673562987104714,32.0,1.0,0.7071067811865476,0.0,0.0,1.0,2.0,1.0,0.5,2,0.5000000013739176,0.5,0.0,0.0,0.5,6144,0,0,6144,2.1051149368286133,0.45753446221351624,1.15791916847229,1.47347891330719,2.0292840003967285
20260625,bottleneck_ae_q4,393216,False,,1.1808927059173584,0.03125,0.09375,0.03125,0.8125,bottleneck_ae,4,nan,nan,,nan,nan,65536,10,0.9774954654276371,0.975446750720342,nan,1.997479756673177,0.49936993916829425,0.8660254037844386,0.0,0.0,1.0,3.0,1.0,0.5,3,0.7500000020608765,0.5,0.0,0.25,0.25,6144,0,3072,3072,1.5891265869140625,0.2722511291503906,0.9064308404922485,1.1714348793029785,1.6004687547683716
20260625,bottleneck_ae_q8,393216,False,,1.1808927059173584,0.03125,0.09375,0.03125,0.8125,bottleneck_ae,8,nan,nan,,nan,nan,65536,10,0.9170294627547264,0.9139433285842339,nan,3.8305842081705728,0.4788230260213216,0.8660254037844386,0.0,0.0,1.0,3.0,1.0,0.5,3,0.7500000020608765,0.25,0.5,0.0,0.25,3072,6144,0,3072,1.9515568017959595,0.4987489879131317,0.8433914184570312,1.1770071983337402,2.075373411178589
20260625,bottleneck_ae_q16,393216,False,,1.1808927059173584,0.03125,0.09375,0.03125,0.8125,bottleneck_ae,16,nan,nan,,nan,nan,65536,10,0.7999580837786198,0.7951069002350172,nan,8.26764170328776,0.516727606455485,0.8660254037844386,0.0,0.0,1.0,3.0,1.0,0.5,3,0.7500000020608765,0.5,0.25,0.0,0.25,6144,3072,0,3072,1.8707590103149414,0.6866183876991272,0.3481311798095703,0.6154273152351379,2.2157819271087646
20260625,bottleneck_ae_q32,393216,False,,1.1808927059173584,0.03125,0.09375,0.03125,0.8125,bottleneck_ae,32,nan,nan,,nan,nan,65536,10,0.6008084490895271,0.5954480146368345,nan,15.89496103922526,0.49671753247578937,0.6368979998630601,0.0,0.0,1.0,2.0,2.0,0.75,2,0.40563905424694935,0.75,0.25,0.0,0.0,9216,3072,0,0,1.7416144609451294,0.6113829016685486,0.46292006969451904,0.8070385456085205,1.7426738739013672
