seed,pool,cluster,position,count,fraction,cluster_total
20260623,pca_q8,1,23,1923,0.04071478478118185,47231
20260623,pca_q8,1,24,1377,0.02915458067794457,47231
20260623,pca_q8,1,25,1313,0.02779953843873727,47231
20260623,pca_q8,1,26,1372,0.0290487180030065,47231
20260623,pca_q8,1,27,1375,0.02911223560796934,47231
20260623,pca_q8,1,28,1438,0.03044610531218903,47231
20260623,pca_q8,1,29,1378,0.029175753212932184,47231
20260623,pca_q8,1,30,1304,0.027608985623848743,47231
20260623,pca_q8,1,31,1310,0.027736020833774428,47231
20260623,pca_q8,2,0,4582,0.03536066800947684,129579
20260623,pca_q8,2,1,4446,0.03431111522700438,129579
20260623,pca_q8,2,2,4058,0.03131680287700939,129579
20260623,pca_q8,2,3,4007,0.030923220583582215,129579
20260623,pca_q8,2,4,3007,0.023205920712461123,129579
20260623,pca_q8,2,5,4049,0.0312473471781693,129579
20260623,pca_q8,2,6,2989,0.023067009314780944,129579
20260623,pca_q8,2,7,5058,0.03903410274813048,129579
20260623,pca_q8,2,8,4252,0.03281395905200688,129579
20260623,pca_q8,2,9,4421,0.03411818273022635,129579
20260623,pca_q8,2,10,3897,0.030074317597758898,129579
20260623,pca_q8,2,11,3886,0.029989427299176565,129579
20260623,pca_q8,2,12,2953,0.022789186519420586,129579
20260623,pca_q8,2,13,3909,0.03016692519621235,129579
20260623,pca_q8,2,14,2941,0.02269657892096713,129579
20260623,pca_q8,2,15,5034,0.03884888755122358,129579
20260623,pca_q8,2,16,4360,0.03364742743808796,129579
20260623,pca_q8,2,17,4475,0.034534916923266885,129579
20260623,pca_q8,2,18,3932,0.030344423093248134,129579
20260623,pca_q8,2,19,3925,0.030290401994150288,129579
20260623,pca_q8,2,20,2869,0.022140933330246415,129579
20260623,pca_q8,2,21,3896,0.030066600297887776,129579
20260623,pca_q8,2,22,2932,0.02262712322212704,129579
20260623,pca_q8,2,23,4933,0.03806944026424035,129579
20260623,pca_q8,2,24,4336,0.03346221224118105,129579
20260623,pca_q8,2,25,4337,0.03346992954105218,129579
20260623,pca_q8,2,26,4301,0.03319210674569182,129579
20260623,pca_q8,2,27,4344,0.03352395064015003,129579
20260623,pca_q8,2,28,4361,0.03365514473795908,129579
20260623,pca_q8,2,29,4396,0.03392525023344832,129579
20260623,pca_q8,2,30,4393,0.03390209833383496,129579
20260623,pca_q8,2,31,4300,0.033184389445820694,129579
20260623,pca_q8,3,0,3603,0.03208856193724785,112283
20260623,pca_q8,3,1,3637,0.03239136823918135,112283
20260623,pca_q8,3,2,3369,0.030004542094529,112283
20260623,pca_q8,3,3,4447,0.039605283079361966,112283
20260623,pca_q8,3,4,3456,0.030779369984770624,112283
20260623,pca_q8,3,5,4493,0.0400149621937426,112283
20260623,pca_q8,3,6,2356,0.02098269551045127,112283
20260623,pca_q8,3,7,2387,0.021258783609272996,112283
20260623,pca_q8,3,8,3647,0.03248042891622062,112283
20260623,pca_q8,3,9,3543,0.03155419787501225,112283
20260623,pca_q8,3,10,3457,0.030788276052474552,112283
20260623,pca_q8,3,11,4524,0.04029105029256432,112283
20260623,pca_q8,3,12,3451,0.03073483964625099,112283
20260623,pca_q8,3,13,4484,0.039934807584407254,112283
20260623,pca_q8,3,14,2389,0.02127659574468085,112283
20260623,pca_q8,3,15,2348,0.020911446968819858,112283
20260623,pca_q8,3,16,3603,0.03208856193724785,112283
20260623,pca_q8,3,17,3545,0.0315720100104201,112283
20260623,pca_q8,3,18,3358,0.02990657534978581,112283
