layer,band,x_source_energy_fraction,a_source_energy_fraction,h_energy_fraction,a_norm_share_in_band,x_norm_share_in_band,cross_term_over_h_energy,a_shapley_share_in_h_band,x_shapley_share_in_h_band,a_to_x_norm_ratio,a_adjacent_cosine,a_between_cosine,a_sequence_gap,a_sequence_accuracy,h_adjacent_cosine,h_between_cosine,h_sequence_gap,h_sequence_accuracy
5,50_100,3.1500618000622424e-05,0.2577000804956835,1.6741324287957786e-05,0.40236680042406175,0.5976331995759382,-2.1482458353440803,0.19262675468066948,0.8073734159023269,0.8205285790247377,0.3977890908718109,0.017673993483185768,0.38011509738862514,0.837890625,-0.08261328190565109,0.0008744228398427367,-0.08348770474549383,0.03515625
6,0_1,0.9993275911274966,0.07925182044279963,0.999295234545681,6.793814771767484e-06,0.9999932061852282,-0.0008089642974565007,-0.00039768283804504504,1.00039767663298,0.002606503582963241,0.5860776901245117,0.16687853634357452,0.4191991537809372,0.5234375,0.622045636177063,0.44162416458129883,0.18042147159576416,0.4296875
6,1_2,7.414301853509128e-05,0.01856954656164212,8.412827917841706e-05,0.021005194499779053,0.978994805500221,0.09908876963349007,0.06846820222146584,0.931531882702147,0.14647825579301316,0.6204231977462769,0.08259541541337967,0.5378277823328972,0.626953125,0.2751999795436859,0.0035491646267473698,0.27165081491693854,0.306640625
6,2_5,0.0001548340485687275,0.03579181111741781,0.00017083030776336464,0.01941852214403358,0.9805814778559664,0.0749780333749502,0.05545157566161514,0.9445483950629345,0.1407233756971148,0.5686269998550415,0.006437916774302721,0.5621890830807388,0.720703125,0.2574056386947632,-0.001444878289476037,0.2588505169842392,0.388671875
6,5_10,0.0001445988041891922,0.052884241664723323,0.00016032864612572728,0.030379366435895394,0.9696206335641047,0.06913668869190746,0.06284738103428915,0.9371525877726938,0.17700618090742604,0.5270909070968628,0.018885517492890358,0.5082053896039724,0.765625,0.24079997837543488,0.004712502937763929,0.23608747543767095,0.34375
6,10_20,0.00012698200075500962,0.12263962105936284,0.00014416398590937313,0.0764153529129498,0.9235846470870502,0.04557270521924138,0.09571925117004433,0.9042807488299557,0.2876417743700619,0.49530965089797974,0.016556676477193832,0.4787529744207859,0.783203125,0.26398250460624695,-0.009481707587838173,0.2734642121940851,0.35546875
6,20_50,0.00011861970546583684,0.28455511301992104,0.00012144641100741264,0.17047292137171946,0.8295270786282806,-0.17835389858446102,0.1117004902321136,0.8882995568304705,0.4533278682969888,0.4441026449203491,0.024126451462507248,0.4199761934578419,0.806640625,0.1312442123889923,-0.001396691077388823,0.13264090346638113,0.123046875
6,50_100,4.957104174988245e-05,0.4063077794671199,2.026038335777932e-05,0.41251467251143986,0.5874853274885602,-3.1679023393101318,0.13536969890511721,0.8646303010948828,0.837955947769457,0.42590779066085815,0.03268006071448326,0.3932277299463749,0.84375,-0.09224417060613632,-0.0010305052855983377,-0.09121366532053798,0.03125
7,0_1,0.999221512170026,0.048153486772338966,0.9991816085461083,5.124300845212781e-06,0.9999948756991548,-0.0006587154678716953,-0.00032423005738047494,1.0003242796116818,0.002263697661748691,0.632503092288971,0.17958761751651764,0.4529154747724533,0.53515625,0.628757655620575,0.416597843170166,0.21215981245040894,0.46875
7,1_2,8.738087714938169e-05,0.01584562609657487,9.574145563946537e-05,0.018917742331746836,0.9810822576682532,0.06915504532954306,0.0521870091856682,0.9478130710371395,0.1388615287083539,0.6642622947692871,0.04668479785323143,0.6175774969160557,0.61328125,0.3016948997974396,-0.00611394178122282,0.3078088415786624,0.328125
7,2_5,0.00017704707307311627,0.042796423057376985,0.00019537754158822072,0.025059236223736427,0.9749407637762636,0.06995856920917971,0.05828541361631258,0.9417146302666587,0.16032261958769656,0.6421539783477783,0.01703934371471405,0.6251146346330643,0.68359375,0.30100080370903015,0.003102135146036744,0.2978986685629934,0.404296875
7,5_10,0.0001663522167168668,0.06589213651732656,0.00018380074247672655,0.04041649529972643,0.9595835047002735,0.05623247473475913,0.06626000981700955,0.9337399085507995,0.20522862651969673,0.6059703230857849,0.01728300377726555,0.5886873193085194,0.7578125,0.2809290885925293,0.0011889142915606499,0.27974017430096865,0.33984375
7,10_20,0.0001490989590905897,0.157532670275985,0.00017026601962758179,0.10100109162777911,0.8989989083722209,0.02533831768478677,0.1111110539954753,0.8888889585932771,0.3351841329335716,0.5778197646141052,0.015796106308698654,0.5620236583054066,0.845703125,0.30473577976226807,-0.008411236107349396,0.31314701586961746,0.34765625
7,20_50,0.00014097026229631496,0.3334388587992982,0.0001438261155953697,0.20096683354405487,0.7990331664559451,-0.2274148817673607,0.13296224134995663,0.8670377586500434,0.5015102245604839,0.5100936889648438,0.018916869536042213,0.49117681942880154,0.859375,0.16176490485668182,-0.0026951543986797333,0.16446005925536156,0.119140625
7,50_100,5.344200714024863e-05,0.33634080015987294,2.500695368380894e-05,0.40091710866796404,0.599082891332036,-2.569451411057767,0.14632847954192807,0.8536716347429111,0.8180575105900172,0.4538915157318115,0.014164735563099384,0.43972678016871214,0.88671875,-0.11077509820461273,0.003307878505438566,-0.1140829767100513,0.015625
8,0_1,0.9991054372292509,0.11396318377197219,0.999092691230014,1.3110404445900954e-05,0.9999868895955542,-0.0015973288740617556,-0.000785533089823411,1.0007856195855365,0.0036208529838781317,0.5837957859039307,0.15870808064937592,0.42508770525455475,0.359375,0.6177682876586914,0.3822443187236786,0.23552396893501282,0.455078125
8,1_2,9.878720788031083e-05,0.01936767223019904,0.00010690147006604464,0.022037754329307803,0.9779622456706922,0.053595279018574984,0.047654274578031744,0.9523457404715283,0.15011449311081695,0.5983363389968872,0.09679146111011505,0.5015448778867722,0.513671875,0.3297170102596283,0.007643730379641056,0.32207327987998724,0.3515625
8,2_5,0.00020606276232749138,0.049606812730882174,0.00021635440008700314,0.02692505683334656,0.9730749431666534,0.019676341609772035,0.03623343937589821,0.963766499483324,0.16634324506920986,0.5452117323875427,0.03121328353881836,0.5139984488487244,0.65625,0.3017665147781372,-0.006278870161622763,0.30804538493975997,0.38671875
8,5_10,0.00018811163448595626,0.04821171845403703,0.00020373278462355074,0.0286152003049607,0.9713847996950393,0.047981472154646605,0.051232936493719634,0.9487670477128469,0.17163377057626572,0.5221590995788574,0.025027606636285782,0.49713149294257164,0.685546875,0.28556516766548157,0.005584114231169224,0.27998105343431234,0.345703125
8,10_20,0.00017299551447330744,0.10164536031432372,0.00019180956582590263,0.06326151830288056,0.9367384816971195,0.03566443733209908,0.07883755004222873,0.9211624425021353,0.2598726796670146,0.49477288126945496,0.02947195991873741,0.46530092135071754,0.77734375,0.2954809069633484,-0.010521120391786098,0.3060020273551345,0.314453125
8,20_50,0.00015597070956823076,0.2577318819234838,0.0001573701877068237,0.15961444994752913,0.8403855500524708,-0.1812013723056666,0.09793613276865401,0.9020639399293492,0.4358096220661565,0.4407075047492981,0.01719261333346367,0.4235148914158344,0.83984375,0.16388466954231262,-0.0013327372726053,0.16521740681491792,0.11328125
8,50_100,6.788562368770461e-05,0.4094734684012668,2.64172033912733e-05,0.40943456954316254,0.5905654304568374,-3.3581772603168645,0.10529988906911819,0.8947003274658843,0.8326418654120181,0.4137408137321472,0.020494865253567696,0.3932459484785795,0.853515625,-0.11189739406108856,0.0009519896702840924,-0.11284938373137265,0.021484375
9,0_1,0.998979208231401,0.11252094415979993,0.9988972475516773,1.8726811292612206e-05,0.9999812731887074,-0.0023743296452855165,-0.0011683935478954612,1.0011683845485588,0.004327489109476867,0.39295151829719543,0.1115829274058342,0.28136859089136124,0.451171875,0.5803927183151245,0.3409354090690613,0.23945730924606323,0.453125
