role,band,band_index,b,q,j,e,q_enrichment,j_enrichment,layer,split,floor_ratio
fine,F10,10,3.1423114705830812e-06,0.043749833084963455,0.4009251296520233,0.14868824137377804,1.0320766725354376,1.1220293731174658,3,confirmation,1e-06
fine,F11,11,2.1926991848886246e-06,0.051351027426655385,0.38245800137519836,0.10375438231217383,1.2113919935386823,1.070347253860661,3,confirmation,1e-06
fine,F12,12,1.3986943940835772e-06,0.057594183014224906,0.3884478211402893,0.0661835758875484,1.3586706181776946,1.0871103680160266,3,confirmation,1e-06
fine,F13,13,8.531758339813678e-07,0.06905625598694015,0.4139648973941803,0.04037066838372856,1.6290656642814048,1.1585224770494353,3,confirmation,1e-06
fine,F14,14,4.165252676102682e-07,0.0787865537781145,0.4087390601634979,0.01970918863661246,1.8586074169914433,1.143897444996579,3,confirmation,1e-06
fine,F15,15,1.6323926388395193e-07,0.10402224701149218,0.4096639156341553,0.007724173525532487,2.453927866576908,1.146485746220966,3,confirmation,1e-06
fine,F16,16,2.3747215749381212e-08,0.05757960669688844,0.38323307037353516,0.0011236733787704325,1.3583267568179216,1.072516362549561,3,confirmation,1e-06
coarse,F1,1,0.00012687858543358743,0.006832291418721137,0.1831893026828766,8.381530895433576,0.2664724483531279,1.1719927771150056,3,design,1e-06
coarse,F2,2,4.065129178343341e-05,0.010332185844531893,0.1486251950263977,2.685402401498846,0.4029750328400503,0.9508614996465575,3,design,1e-06
coarse,F3,3,2.425493221380748e-05,0.012510901048976654,0.14501696825027466,1.602267735110313,0.487949097793101,0.927777096475212,3,design,1e-06
coarse,F4,4,1.5046054613776505e-05,0.013611316501842595,0.13006210327148438,0.9939342495724656,0.5308674076191902,0.8321001465595623,3,design,1e-06
coarse,F5,5,9.888670319924131e-06,0.01465783108351614,0.12839332222938538,0.6532402258266388,0.5716834802550376,0.8214237626262045,3,design,1e-06
coarse,F6,6,7.82101687946124e-06,0.018185127250022574,0.12658144533634186,0.5166521551678559,0.7092547851001559,0.8098318923555663,3,design,1e-06
coarse,F7,7,5.464484274853021e-06,0.019727141562022727,0.1419786959886551,0.3609808827925908,0.7693962960416136,0.9083390993139299,3,design,1e-06
coarse,F8,8,4.110112513444619e-06,0.022915879368036275,0.1475962996482849,0.27151181499557325,0.8937631765286377,0.9442789212214259,3,design,1e-06
coarse,F9,9,3.0150761176628293e-06,0.02663489466443631,0.17175449430942535,0.19917430152547375,1.038811894558869,1.098836142829549,3,design,1e-06
coarse,F10,10,2.016457983700093e-06,0.02820587809749328,0.1541164070367813,0.1332061264079318,1.1000832566939533,0.985992703922812,3,design,1e-06
coarse,F11,11,1.3487274372891989e-06,0.031469702099907695,0.17649148404598236,0.08909620679114112,1.22737864262172,1.1291420486614163,3,design,1e-06
coarse,F12,12,8.431252354057506e-07,0.034534695555470195,0.16979727149009705,0.055696398136247716,1.3469192564854842,1.0863143908829935,3,design,1e-06
coarse,F13,13,5.198360213398701e-07,0.04187262957421124,0.17806227505207062,0.034340087088218695,1.6331127344846466,1.1391915203638092,3,design,1e-06
coarse,F14,14,2.4663626163601293e-07,0.046546199709950255,0.17635048925876617,0.016292658369197525,1.8153909191077409,1.1282400043290883,3,design,1e-06
coarse,F15,15,9.063609951454055e-08,0.057280186997601776,0.1742027997970581,0.005987371830531248,2.234036977631287,1.1144997012669315,3,design,1e-06
coarse,F16,16,1.0378053971749068e-08,0.02491940708188725,0.14867471158504486,0.0006855686458155094,0.9719045938853854,0.9511782924299359,3,design,1e-06
fine,F1,1,0.00017923905397765338,0.010113450606890862,0.2614689767360687,8.251016245015489,0.24296448225747053,1.04889096074145,3,design,1e-06
fine,F2,2,5.5828000768087804e-05,0.014082251672624745,0.1937408149242401,2.5699630244737826,0.33831054500107194,0.7771973258068178,3,design,1e-06
fine,F3,3,3.4365981264272705e-05,0.01767436192060158,0.1953221708536148,1.5819893231681759,0.42460702683851614,0.7835409844723363,3,design,1e-06
fine,F4,4,2.31269805226475e-05,0.020986838786120718,0.18887925148010254,1.064617826058778,0.504185625469565,0.7576950123190719,3,design,1e-06
fine,F5,5,1.626098674023524e-05,0.02408103403233381,0.20197178423404694,0.7485515169611976,0.5785202492514285,0.8102161160853729,3,design,1e-06
fine,F6,6,1.1605525287450291e-05,0.02699185828524375,0.1751309335231781,0.5342439359818811,0.648449587421022,0.7025432057436642,3,design,1e-06
