layer,band,rank,split_half_overlap,random_expectation,normalized_excess,stability_pass,reconstruction_relative_error,trace_relative_error,orthogonality_relative_error
18,F15,256,0.8016311089082916,0.0625,0.7884065161688444,True,5.271767525248307e-15,1.1157257321192467e-16,5.871977916565616e-15
18,F16,256,0.9392437055058307,0.0625,0.9351932858728861,True,5.271767525248307e-15,1.1157257321192467e-16,5.871977916565616e-15
18,H,256,0.6420892437323953,0.0625,0.6182285266478883,True,5.271767525248307e-15,1.1157257321192467e-16,5.871977916565616e-15
18,M,1792,0.8506981805575956,0.4375,0.7345745432135034,True,5.271767525248307e-15,1.1157257321192467e-16,5.871977916565616e-15
18,T,2048,0.9108662104894044,0.5,0.8217324209788088,True,5.271767525248307e-15,1.1157257321192467e-16,5.871977916565616e-15
19,F1,256,0.6399490100489748,0.0625,0.6159456107189064,True,4.424278014664805e-15,1.9220633803468523e-16,5.876353476753859e-15
19,F2,256,0.39982524326449015,0.0625,0.35981359281545616,True,4.424278014664805e-15,1.9220633803468523e-16,5.876353476753859e-15
19,F3,256,0.3158927657925776,0.0625,0.2702856168454161,True,4.424278014664805e-15,1.9220633803468523e-16,5.876353476753859e-15
19,F4,256,0.2808632672471585,0.0625,0.23292081839696904,False,4.424278014664805e-15,1.9220633803468523e-16,5.876353476753859e-15
19,F5,256,0.2657811858906295,0.0625,0.2168332649500048,False,4.424278014664805e-15,1.9220633803468523e-16,5.876353476753859e-15
19,F6,256,0.26232307306958313,0.0625,0.21314461127422202,False,4.424278014664805e-15,1.9220633803468523e-16,5.876353476753859e-15
19,F7,256,0.26664511768300836,0.0625,0.2177547921952089,False,4.424278014664805e-15,1.9220633803468523e-16,5.876353476753859e-15
19,F8,256,0.27998331321865955,0.0625,0.2319822007665702,False,4.424278014664805e-15,1.9220633803468523e-16,5.876353476753859e-15
19,F9,256,0.30374133036028517,0.0625,0.2573240857176375,True,4.424278014664805e-15,1.9220633803468523e-16,5.876353476753859e-15
19,F10,256,0.3374153743273741,0.0625,0.2932430659491991,True,4.424278014664805e-15,1.9220633803468523e-16,5.876353476753859e-15
19,F11,256,0.38738520715046165,0.0625,0.3465442209604924,True,4.424278014664805e-15,1.9220633803468523e-16,5.876353476753859e-15
19,F12,256,0.45452073786539104,0.0625,0.41815545372308377,True,4.424278014664805e-15,1.9220633803468523e-16,5.876353476753859e-15
