layer,omitted_parent,D_coarse,D_fine,R
23,0,0.19933496415615082,0.2919563353061676,0.38161760782942594
23,1,0.24457213282585144,0.2939138412475586,0.18377638022081852
23,2,0.2629932761192322,0.3168591260910034,0.18632881214994484
23,3,0.2524951100349426,0.30696919560432434,0.19535552017209634
23,4,0.23246584832668304,0.3150564432144165,0.30400848226093913
23,5,0.23207522928714752,0.3096718192100525,0.2884515057336091
23,6,0.23061998188495636,0.3353404998779297,0.37437517737491716
23,7,0.24281282722949982,0.3215312659740448,0.28080390103286207
24,0,0.3357766568660736,0.48483920097351074,0.36737106434366423
24,1,0.34724533557891846,0.4876030385494232,0.339470080145189
24,2,0.36086463928222656,0.5294457077980042,0.3833276973558492
24,3,0.34823063015937805,0.5174117684364319,0.39597402421971745
24,4,0.3405607044696808,0.5266396999359131,0.43592324330831
24,5,0.3086840808391571,0.5164640545845032,0.5146873301240804
24,6,0.33646532893180847,0.5635800361633301,0.515814248003248
24,7,0.33287888765335083,0.5310980081558228,0.4671678539240349
25,0,0.9739209413528442,1.1171971559524536,0.1372481570694883
25,1,0.9573530554771423,1.1000547409057617,0.1389429795950822
25,2,0.9378965497016907,1.1387965679168701,0.1940876868681841
25,3,0.9446505904197693,1.125070571899414,0.17478592971485396
25,4,0.9414267539978027,1.1543161869049072,0.20386685372141294
25,5,0.820838451385498,1.1214929819107056,0.3120897766213195
25,6,0.8784286975860596,1.2363426685333252,0.3417780989920589
25,7,0.8789419531822205,1.153872013092041,0.2721596755488571
26,0,0.22560648620128632,0.6095839738845825,0.9939844443646166
26,1,0.23549361526966095,0.6115929484367371,0.9543831425830249
26,2,0.24767914414405823,0.624662458896637,0.9250773031783057
26,3,0.24215318262577057,0.6288167834281921,0.9542694199989734
26,4,0.232364684343338,0.6539855003356934,1.0347771276972215
26,5,0.21279865503311157,0.6048035621643066,1.0445572775555203
26,6,0.21598291397094727,0.6648889780044556,1.1244207737797676
26,7,0.23011086881160736,0.6212465763092041,0.993166835333166
27,0,0.315023809671402,0.7749895453453064,0.900201317157779
27,1,0.3245042860507965,0.7750608921051025,0.8706428524992651
27,2,0.3249753415584564,0.7915647029876709,0.8902623159561103
27,3,0.32586681842803955,0.8002923130989075,0.8984882868371171
27,4,0.3158823549747467,0.8199642300605774,0.9538908675450524
27,5,0.3043135404586792,0.7955487370491028,0.9609735588495341
27,6,0.30313289165496826,0.8298987746238708,1.0071324393901053
27,7,0.2534797191619873,0.7581577301025391,1.095607634676715
28,0,0.6381138563156128,2.1579771041870117,1.2184098104265793
28,1,0.5993956923484802,2.1447691917419434,1.2748652544040655
28,2,0.6076582670211792,2.130324602127075,1.254416979326958
28,3,0.6218485236167908,1.9844930171966553,1.1604222216276192
28,4,0.6085191369056702,2.197391986846924,1.2839981143642023
28,5,0.5503644347190857,2.1697914600372314,1.3718056731726103
28,6,0.6178882122039795,2.1373043060302734,1.240993089190888
28,7,0.49181631207466125,2.214435338973999,1.5046474266706729
29,0,0.36128079891204834,0.6395413875579834,0.5710958452490565
29,1,0.37593916058540344,0.6346970200538635,0.5237204279106862
29,2,0.40250664949417114,0.6592480540275574,0.4933882562270602
29,3,0.40062665939331055,0.6650514006614685,0.5068343622188414
29,4,0.3758499324321747,0.6721674799919128,0.5813175877998259
29,5,0.373063862323761,0.6808910965919495,0.6016527588098505
29,6,0.3677680194377899,0.7287479043006897,0.6838755044832189
29,7,0.3448275625705719,0.669689416885376,0.6637695745774389
30,0,0.3464096784591675,1.7578575611114502,1.6242289352814205
30,1,0.3648455739021301,1.7167949676513672,1.5487402617775312
30,2,0.3736242949962616,1.5906472206115723,1.4486455357038532
30,3,0.3600592613220215,1.7892316579818726,1.60327293264743
30,4,0.36407890915870667,1.779975414276123,1.5869842034406616
30,5,0.34776943922042847,1.7665387392044067,1.625237667251094
30,6,0.3790731728076935,1.7071142196655273,1.5048303785309587
30,7,0.23207630217075348,1.7131986618041992,1.9990512583706628
31,0,1.0179094076156616,1.2920517921447754,0.23848056774224075
31,1,1.0440562963485718,1.2955775260925293,0.21584315012065028
31,2,1.0202398300170898,1.3091546297073364,0.24934388094406995
31,3,1.0216032266616821,1.2572602033615112,0.20756172748503077
31,4,1.0544793605804443,1.290298342704773,0.20182631701043866
31,5,0.9477536678314209,1.3354694843292236,0.3429435582364909
31,6,0.9954785108566284,1.3711663484573364,0.3201934688792675
31,7,0.9093775153160095,1.3408437967300415,0.38829407748069616
32,0,0.34393230080604553,0.6233066320419312,0.5945937459433401
32,1,0.35107025504112244,0.6243627667427063,0.5757451961569238
32,2,0.3635668456554413,0.6481873989105225,0.5782166758128305
32,3,0.358401358127594,0.6463661193847656,0.589712621002979
32,4,0.3281153738498688,0.6371155977249146,0.663585815126662
32,5,0.31564274430274963,0.636810302734375,0.7018607952939107
32,6,0.33658096194267273,0.6584089994430542,0.6709875976533323
32,7,0.3232923150062561,0.6062213778495789,0.6286883153662592
33,0,0.36862531304359436,0.7375805974006653,0.6935946504991862
33,1,0.3237029016017914,0.755621075630188,0.8477139030610701
33,2,0.38762885332107544,0.7765074372291565,0.6947579022108802
33,3,0.37419217824935913,0.7756683826446533,0.7289555758662402
33,4,0.33907076716423035,0.796163022518158,0.8535951287422912
33,5,0.3431514799594879,0.7746919989585876,0.8142935474522704
33,6,0.3884746730327606,0.7573660016059875,0.6676186501622376
33,7,0.34425318241119385,0.7662571668624878,0.8001404583284327
34,0,0.21022678911685944,0.6052836775779724,1.0575103405271213
34,1,0.21552762389183044,0.6173032522201538,1.052271311403946
34,2,0.2171245515346527,0.6176943778991699,1.0455226419032764
