model,step,layer,control,contrast,actual_router_input_B,control_B,actual_minus_control_B
lb,20000,3,next_layer_basis,H:M,2.5306514762098957,0.025459925373660226,2.5051915508362357
lb,20000,3,next_layer_basis,H:T,3.9171616954160338,0.16134317458088615,3.7558185208351476
lb,20000,4,next_layer_basis,H:M,2.587084767508677,0.0700154872595657,2.5170692802491113
lb,20000,4,next_layer_basis,H:T,4.110024831465286,0.3206389697607747,3.7893858617045115
lb,20000,5,next_layer_basis,H:M,2.275974261064418,0.2588862446912495,2.0170880163731684
lb,20000,5,next_layer_basis,H:T,4.022326286166001,0.4244298353717648,3.597896450794236
lb,20000,6,next_layer_basis,H:M,2.1664143648445373,0.14857476360467672,2.0178396012398605
lb,20000,6,next_layer_basis,H:T,3.6501185314228537,0.44512011234064264,3.204998419082211
lb,20000,7,next_layer_basis,H:M,1.453364528732308,0.02383935012468018,1.429525178607628
lb,20000,7,next_layer_basis,H:T,3.2170498074744334,0.03563067640459682,3.1814191310698368
lb,20000,8,next_layer_basis,H:M,1.4907640971071165,0.20313627257507275,1.2876278245320438
lb,20000,8,next_layer_basis,H:T,2.908398084087405,0.2615913000931845,2.6468067839942204
lb,20000,9,next_layer_basis,H:M,1.8332576722318863,-0.023465718136271577,1.856723390368158
lb,20000,9,next_layer_basis,H:T,3.1215510379090827,0.12403561758981259,2.99751542031927
lb,20000,10,next_layer_basis,H:M,1.4314250850143806,-0.022245844887127667,1.4536709299015083
lb,20000,10,next_layer_basis,H:T,3.0143352992597325,-0.0533334388746019,3.0676687381343344
lb,20000,11,next_layer_basis,H:M,1.3796988802926609,-0.12653223425904803,1.5062311145517089
lb,20000,11,next_layer_basis,H:T,2.6699119053060913,-0.2272719988306762,2.8971839041367677
lb,20000,12,next_layer_basis,H:M,1.7869271919037422,-0.0456457780250072,1.8325729699287494
lb,20000,12,next_layer_basis,H:T,3.1706938382545626,0.005891343695723249,3.1648024945588396
lb,30000,1,next_layer_basis,H:M,1.6598533160403588,-0.02029469114558035,1.6801480071859392
lb,30000,1,next_layer_basis,H:T,2.8476204308345445,-0.07641778619325686,2.9240382170278014
lb,30000,2,next_layer_basis,H:M,2.441270418370335,0.07531462109146746,2.365955797278868
lb,30000,2,next_layer_basis,H:T,3.9262222874926813,0.41319806960560257,3.5130242178870787
lb,30000,3,next_layer_basis,H:M,2.533306322244033,-0.02854461754515546,2.5618509397891884
lb,30000,3,next_layer_basis,H:T,4.045452494630775,0.15671324439613896,3.888739250234636
lb,30000,4,next_layer_basis,H:M,2.509601627614116,0.04862319899518357,2.4609784286189327
lb,30000,4,next_layer_basis,H:T,4.153656059406513,0.3430003324698673,3.810655726936646
lb,30000,5,next_layer_basis,H:M,2.2739235678151566,0.2389134837617829,2.035010084053374
lb,30000,5,next_layer_basis,H:T,4.046897129094512,0.4125789546301925,3.63431817446432
lb,30000,6,next_layer_basis,H:M,2.07789819282914,0.2048382631316433,1.8730599296974968
lb,30000,6,next_layer_basis,H:T,3.560940603328058,0.4776051661369481,3.08333543719111
lb,30000,7,next_layer_basis,H:M,1.3007902237601041,0.012725547804479698,1.2880646759556245
lb,30000,7,next_layer_basis,H:T,3.0496604886795184,0.05978011899856845,2.98988036968095
lb,30000,8,next_layer_basis,H:M,1.3029215591664756,0.17686020776384392,1.1260613514026316
lb,30000,8,next_layer_basis,H:T,2.6259314280298045,0.2358077957357417,2.390123632294063
lb,30000,9,next_layer_basis,H:M,1.70625312843204,0.024364787307176228,1.6818883411248637
lb,30000,9,next_layer_basis,H:T,2.9016934954982982,0.1390677161309839,2.7626257793673146
lb,30000,10,next_layer_basis,H:M,1.2209554038410149,0.0027244165374815045,1.2182309873035333
lb,30000,10,next_layer_basis,H:T,2.731674527141482,-0.0709648168414481,2.8026393439829302
lb,30000,11,next_layer_basis,H:M,1.1564331183738061,-0.12728196033592942,1.2837150787097356
lb,30000,11,next_layer_basis,H:T,2.2753904165815357,-0.28458836465332843,2.559978781234864
lb,30000,12,next_layer_basis,H:M,1.5814120263804345,-0.0600418165727009,1.6414538429531353
lb,30000,12,next_layer_basis,H:T,2.8258538248755616,-0.012061920704730725,2.8379157455802924
batchgrad,10000,1,expert_input_h_basis,H:M,1.6406173182276702,1.6983292155232506,-0.05771189729558035
batchgrad,10000,1,expert_input_h_basis,H:T,2.3066179278664523,2.301585883963952,0.005032043902500227
batchgrad,10000,2,expert_input_h_basis,H:M,2.470045091008483,0.8725719885575834,1.5974731024508992
batchgrad,10000,2,expert_input_h_basis,H:T,3.7812406455366157,1.8196349600817143,1.9616056854549013
batchgrad,10000,3,expert_input_h_basis,H:M,2.707789074308939,1.2826009277667207,1.4251881465422183
batchgrad,10000,3,expert_input_h_basis,H:T,3.966596708023827,2.8670795407029575,1.0995171673208697
batchgrad,10000,4,expert_input_h_basis,H:M,2.616714421088267,0.9131742179321,1.7035402031561668
batchgrad,10000,4,expert_input_h_basis,H:T,4.061025079537112,2.128901896599815,1.9321231829372967
batchgrad,10000,5,expert_input_h_basis,H:M,2.2437505305097316,0.6823496356624623,1.5614008948472693
batchgrad,10000,5,expert_input_h_basis,H:T,3.728620795624102,1.422661664998572,2.30595913062553
batchgrad,10000,6,expert_input_h_basis,H:M,2.36744409497301,0.8513573366230457,1.5160867583499642
batchgrad,10000,6,expert_input_h_basis,H:T,3.868561463850271,1.5543210113496928,2.314240452500578
batchgrad,10000,7,expert_input_h_basis,H:M,2.5053617401405326,0.6182275772607256,1.887134162879807
batchgrad,10000,7,expert_input_h_basis,H:T,3.8618041552460376,1.0524220643010558,2.8093820909449816
batchgrad,10000,8,expert_input_h_basis,H:M,2.191584252543445,0.8212384748715287,1.3703457776719163
batchgrad,10000,8,expert_input_h_basis,H:T,3.5695324741174224,1.2669856352769804,2.302546838840442
batchgrad,10000,9,expert_input_h_basis,H:M,2.1928806776806407,0.5838418071308447,1.609038870549796
batchgrad,10000,9,expert_input_h_basis,H:T,3.820528823150751,0.8575250482090432,2.9630037749417077
batchgrad,10000,10,expert_input_h_basis,H:M,1.6695296738022711,0.6303711157993658,1.0391585580029052
batchgrad,10000,10,expert_input_h_basis,H:T,3.191349609156017,0.8477941107536188,2.3435554984023983
batchgrad,10000,11,expert_input_h_basis,H:M,1.8513132106258328,0.41819099741348664,1.433122213212346
batchgrad,10000,11,expert_input_h_basis,H:T,3.548598816721575,0.44387141018891435,3.1047274065326604
batchgrad,10000,12,expert_input_h_basis,H:M,1.707910858934153,0.47904455376064725,1.2288663051735056
